Division,Crime,SPRING,SUMMER,AUTUMN,WINTER,Cluster
Sligo-Leitrim Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Sligo-Leitrim Garda Division,Burglary and related offences,0,0,0,0,0
Sligo-Leitrim Garda Division,Controlled drug offences,0,10,10,0,0
Sligo-Leitrim Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Sligo-Leitrim Garda Division,Dangerous or negligent acts,76,74,132,88,0
Sligo-Leitrim Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Sligo-Leitrim Garda Division,Homicide & related offences,0,0,0,0,0
Sligo-Leitrim Garda Division,Kidnapping and related offences,0,0,0,0,0
Sligo-Leitrim Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Sligo-Leitrim Garda Division,Offences not elsewhere classified,0,0,0,0,0
Sligo-Leitrim Garda Division,Public order and other social code offences,68,60,96,74,0
Sligo-Leitrim Garda Division,Road and traffic offences,732,760,600,688,1
Sligo-Leitrim Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Sligo-Leitrim Garda Division,Sexual offences,0,0,0,0,0
Sligo-Leitrim Garda Division,Theft and related offences,406,382,450,382,2
Sligo-Leitrim Garda Division,Weapons and explosives offences,0,0,0,0,0
Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Tipperary Garda Division,Burglary and related offences,0,0,0,0,0
Tipperary Garda Division,Controlled drug offences,0,10,10,0,0
Tipperary Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Tipperary Garda Division,Dangerous or negligent acts,76,74,132,88,0
Tipperary Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Tipperary Garda Division,Homicide & related offences,0,0,0,0,0
Tipperary Garda Division,Kidnapping and related offences,0,0,0,0,0
Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Tipperary Garda Division,Offences not elsewhere classified,0,0,0,0,0
Tipperary Garda Division,Public order and other social code offences,68,60,96,74,0
Tipperary Garda Division,Road and traffic offences,732,760,600,688,1
Tipperary Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Tipperary Garda Division,Sexual offences,0,0,0,0,0
Tipperary Garda Division,Theft and related offences,406,382,450,382,2
Tipperary Garda Division,Weapons and explosives offences,0,0,0,0,0
Waterford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Waterford Garda Division,Burglary and related offences,0,0,0,0,0
Waterford Garda Division,Controlled drug offences,0,10,10,0,0
Waterford Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Waterford Garda Division,Dangerous or negligent acts,76,74,132,88,0
Waterford Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Waterford Garda Division,Homicide & related offences,0,0,0,0,0
Waterford Garda Division,Kidnapping and related offences,0,0,0,0,0
Waterford Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Waterford Garda Division,Offences not elsewhere classified,0,0,0,0,0
Waterford Garda Division,Public order and other social code offences,68,60,96,74,0
Waterford Garda Division,Road and traffic offences,732,760,600,688,1
Waterford Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Waterford Garda Division,Sexual offences,0,0,0,0,0
Waterford Garda Division,Theft and related offences,406,382,450,382,2
Waterford Garda Division,Weapons and explosives offences,0,0,0,0,0
Westmeath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
