Quarter,Garda Division,Type of Offence,VALUE
2009Q2,Tipperary Garda Division,Burglary and related offences,180.0
2009Q2,Tipperary Garda Division,Controlled drug offences,221.0
2009Q2,Tipperary Garda Division,Damage to property and to the environment  offences,210.0
2009Q2,Tipperary Garda Division,Dangerous or negligent acts,1187.0
2009Q2,Tipperary Garda Division,"Fraud, deception and related offences",14.0
2009Q2,Tipperary Garda Division,Homicide & related offences,1.0
2009Q2,Tipperary Garda Division,Kidnapping and related offences,1.0
2009Q2,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",46.0
2009Q2,Tipperary Garda Division,Offences not elsewhere classified,16.0
2009Q2,Tipperary Garda Division,Public order and other social code offences,393.0
2009Q2,Tipperary Garda Division,Road and traffic offences,904.0
2009Q2,Tipperary Garda Division,"Robbery, extortion and hijacking offences",8.0
2009Q2,Tipperary Garda Division,Sexual offences,15.0
2009Q2,Tipperary Garda Division,Theft and related offences,320.0
2009Q2,Tipperary Garda Division,Weapons and explosives offences,21.0
2009Q3,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",141.0
