Quarter,Garda Division,Type of Offence,VALUE
2007Q2,Donegal Garda Division,Sexual offences,22.0
2007Q2,Donegal Garda Division,Theft and related offences,368.0
2007Q2,Donegal Garda Division,Weapons and explosives offences,24.0
2007Q3,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",249.0
2007Q3,Donegal Garda Division,Burglary and related offences,107.0
2007Q3,Donegal Garda Division,Controlled drug offences,76.0
2007Q3,Donegal Garda Division,Damage to property and to the environment  offences,366.0
2007Q3,Donegal Garda Division,Dangerous or negligent acts,709.0
2007Q3,Donegal Garda Division,"Fraud, deception and related offences",29.0
2007Q3,Donegal Garda Division,Homicide & related offences,0.0
2007Q3,Donegal Garda Division,Kidnapping and related offences,1.0
2007Q3,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",59.0
2007Q3,Donegal Garda Division,Offences not elsewhere classified,35.0
2007Q3,Donegal Garda Division,Public order and other social code offences,789.0
2007Q3,Donegal Garda Division,Road and traffic offences,1000.0
2007Q3,Donegal Garda Division,"Robbery, extortion and hijacking offences",9.0
2007Q3,Donegal Garda Division,Sexual offences,17.0
2007Q3,Donegal Garda Division,Theft and related offences,329.0
2007Q3,Donegal Garda Division,Weapons and explosives offences,20.0
2007Q4,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",295.0
2007Q4,Donegal Garda Division,Burglary and related offences,100.0
2007Q4,Donegal Garda Division,Controlled drug offences,87.0
2007Q4,Donegal Garda Division,Damage to property and to the environment  offences,360.0
2007Q4,Donegal Garda Division,Dangerous or negligent acts,582.0
2007Q4,Donegal Garda Division,"Fraud, deception and related offences",27.0
2007Q4,Donegal Garda Division,Homicide & related offences,1.0
2007Q4,Donegal Garda Division,Kidnapping and related offences,2.0
2007Q4,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",41.0
2007Q4,Donegal Garda Division,Offences not elsewhere classified,35.0
2007Q4,Donegal Garda Division,Public order and other social code offences,710.0
2007Q4,Donegal Garda Division,Road and traffic offences,692.0
2007Q4,Donegal Garda Division,"Robbery, extortion and hijacking offences",9.0
2007Q4,Donegal Garda Division,Sexual offences,20.0
2007Q4,Donegal Garda Division,Theft and related offences,284.0
2007Q4,Donegal Garda Division,Weapons and explosives offences,38.0
2008Q1,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",248.0
2008Q1,Donegal Garda Division,Burglary and related offences,128.0
2008Q1,Donegal Garda Division,Controlled drug offences,91.0
2008Q1,Donegal Garda Division,Damage to property and to the environment  offences,404.0
2008Q1,Donegal Garda Division,Dangerous or negligent acts,583.0
2008Q1,Donegal Garda Division,"Fraud, deception and related offences",42.0
2008Q1,Donegal Garda Division,Homicide & related offences,1.0
2008Q1,Donegal Garda Division,Kidnapping and related offences,0.0
2008Q1,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",46.0
2008Q1,Donegal Garda Division,Offences not elsewhere classified,34.0
2008Q1,Donegal Garda Division,Public order and other social code offences,745.0
2008Q1,Donegal Garda Division,Road and traffic offences,834.0
2008Q1,Donegal Garda Division,"Robbery, extortion and hijacking offences",3.0
2008Q1,Donegal Garda Division,Sexual offences,28.0
2008Q1,Donegal Garda Division,Theft and related offences,316.0
2008Q1,Donegal Garda Division,Weapons and explosives offences,17.0
2008Q2,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",291.0
2008Q2,Donegal Garda Division,Burglary and related offences,84.0
2008Q2,Donegal Garda Division,Controlled drug offences,150.0
2008Q2,Donegal Garda Division,Damage to property and to the environment  offences,355.0
2008Q2,Donegal Garda Division,Dangerous or negligent acts,684.0
2008Q2,Donegal Garda Division,"Fraud, deception and related offences",45.0
2008Q2,Donegal Garda Division,Homicide & related offences,3.0
2008Q2,Donegal Garda Division,Kidnapping and related offences,5.0
2008Q2,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",42.0
2008Q2,Donegal Garda Division,Offences not elsewhere classified,35.0
2008Q2,Donegal Garda Division,Public order and other social code offences,712.0
2008Q2,Donegal Garda Division,Road and traffic offences,777.0
2008Q2,Donegal Garda Division,"Robbery, extortion and hijacking offences",7.0
2008Q2,Donegal Garda Division,Sexual offences,19.0
2008Q2,Donegal Garda Division,Theft and related offences,334.0
2008Q2,Donegal Garda Division,Weapons and explosives offences,22.0
2008Q3,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",310.0
2008Q3,Donegal Garda Division,Burglary and related offences,126.0
2008Q3,Donegal Garda Division,Controlled drug offences,101.0
2008Q3,Donegal Garda Division,Damage to property and to the environment  offences,397.0
2008Q3,Donegal Garda Division,Dangerous or negligent acts,535.0
2008Q3,Donegal Garda Division,"Fraud, deception and related offences",45.0
2008Q3,Donegal Garda Division,Homicide & related offences,1.0
2008Q3,Donegal Garda Division,Kidnapping and related offences,0.0
2008Q3,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",42.0
2008Q3,Donegal Garda Division,Offences not elsewhere classified,32.0
2008Q3,Donegal Garda Division,Public order and other social code offences,719.0
2008Q3,Donegal Garda Division,Road and traffic offences,821.0
2008Q3,Donegal Garda Division,"Robbery, extortion and hijacking offences",5.0
2008Q3,Donegal Garda Division,Sexual offences,18.0
2008Q3,Donegal Garda Division,Theft and related offences,319.0
2008Q3,Donegal Garda Division,Weapons and explosives offences,24.0
2008Q4,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",242.0
2008Q4,Donegal Garda Division,Burglary and related offences,91.0
2008Q4,Donegal Garda Division,Controlled drug offences,125.0
2008Q4,Donegal Garda Division,Damage to property and to the environment  offences,343.0
2008Q4,Donegal Garda Division,Dangerous or negligent acts,415.0
2008Q4,Donegal Garda Division,"Fraud, deception and related offences",63.0
2008Q4,Donegal Garda Division,Homicide & related offences,0.0
2008Q4,Donegal Garda Division,Kidnapping and related offences,0.0
2008Q4,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",31.0
2008Q4,Donegal Garda Division,Offences not elsewhere classified,42.0
2008Q4,Donegal Garda Division,Public order and other social code offences,645.0
2008Q4,Donegal Garda Division,Road and traffic offences,786.0
2008Q4,Donegal Garda Division,"Robbery, extortion and hijacking offences",5.0
2008Q4,Donegal Garda Division,Sexual offences,7.0
2008Q4,Donegal Garda Division,Theft and related offences,364.0
2008Q4,Donegal Garda Division,Weapons and explosives offences,40.0
2009Q1,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",226.0
2009Q1,Donegal Garda Division,Burglary and related offences,127.0
2009Q1,Donegal Garda Division,Controlled drug offences,94.0
2009Q1,Donegal Garda Division,Damage to property and to the environment  offences,296.0
2009Q1,Donegal Garda Division,Dangerous or negligent acts,462.0
2009Q1,Donegal Garda Division,"Fraud, deception and related offences",45.0
2009Q1,Donegal Garda Division,Homicide & related offences,1.0
2009Q1,Donegal Garda Division,Kidnapping and related offences,3.0
2009Q1,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",34.0
2009Q1,Donegal Garda Division,Offences not elsewhere classified,27.0
2009Q1,Donegal Garda Division,Public order and other social code offences,539.0
2009Q1,Donegal Garda Division,Road and traffic offences,916.0
2009Q1,Donegal Garda Division,"Robbery, extortion and hijacking offences",9.0
2009Q1,Donegal Garda Division,Sexual offences,12.0
2009Q1,Donegal Garda Division,Theft and related offences,385.0
2009Q1,Donegal Garda Division,Weapons and explosives offences,21.0
2009Q2,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",240.0
2009Q2,Donegal Garda Division,Burglary and related offences,131.0
2009Q2,Donegal Garda Division,Controlled drug offences,189.0
2009Q2,Donegal Garda Division,Damage to property and to the environment  offences,292.0
2009Q2,Donegal Garda Division,Dangerous or negligent acts,657.0
2009Q2,Donegal Garda Division,"Fraud, deception and related offences",52.0
2009Q2,Donegal Garda Division,Homicide & related offences,2.0
2009Q2,Donegal Garda Division,Kidnapping and related offences,0.0
2009Q2,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",35.0
2009Q2,Donegal Garda Division,Offences not elsewhere classified,27.0
2009Q2,Donegal Garda Division,Public order and other social code offences,554.0
2009Q2,Donegal Garda Division,Road and traffic offences,908.0
2009Q2,Donegal Garda Division,"Robbery, extortion and hijacking offences",2.0
